model,family,processing,n,completion_rate,semantic_accuracy,exact_accuracy,strict_accuracy,mean_input_tokens,mean_total_tokens,mean_thought_tokens,mean_provider_latency_seconds,median_provider_latency_seconds,stdev_provider_latency_seconds,provider_latency_cv,max_provider_latency_seconds,mean_wall_latency_seconds,errors
models/gemini-3.6-flash-video-understanding-eap,fine_motion,agentic,3,1.0,1.0,1.0,0.0,10532.666666666666,11638.0,980.6666666666666,13.243877866666784,13.324316799997177,0.4209655218809518,0.03178566928199107,13.618820000003325,16.41885853333224,0
models/gemini-3.6-flash-video-understanding-eap,fine_motion,static,3,1.0,0.4666666666666666,0.0,0.0,1208.0,5378.333333333333,4137.333333333333,29.92258429999735,32.31127099999867,7.016244705954705,0.23447990439633673,35.43259189999662,33.10911053333257,0
models/gemini-3.6-flash-video-understanding-eap,incomplete_action,agentic,3,1.0,1.0,1.0,1.0,5525.333333333333,6335.0,687.3333333333334,12.70438493333495,10.955346700000518,3.52581335461017,0.2775272768505945,16.76277100000152,16.07971130000078,0
models/gemini-3.6-flash-video-understanding-eap,incomplete_action,static,3,1.0,1.0,1.0,1.0,11897.0,12579.0,681.3333333333334,9.158437600000374,9.241409100002784,0.8263074411328708,0.09022362516646257,9.94012909999583,12.764372333331266,0
models/gemini-3.6-flash-video-understanding-eap,reversible_state,agentic,6,1.0,1.0,1.0,0.5,20417.333333333332,23139.5,2306.8333333333335,31.470761683334178,30.23209665000104,6.433534779825171,0.20442895041946657,42.18731339999795,34.77096201666791,0
models/gemini-3.6-flash-video-understanding-eap,reversible_state,static,6,1.0,1.0,1.0,0.5,11914.0,13118.166666666666,1182.3333333333333,10.82113805000093,10.651888150001469,0.9836099023704747,0.09089708474520294,12.690576500004681,14.512635333335007,0
models/gemini-3.6-flash-video-understanding-eap,sparse_event,agentic,3,1.0,1.0,1.0,1.0,38608.333333333336,40192.0,1361.0,26.843805766666872,14.936231400002725,25.184839236516154,0.9381992797678961,55.77439389999927,30.326704333335027,0
models/gemini-3.6-flash-video-understanding-eap,sparse_event,static,3,1.0,1.0,1.0,1.0,19820.0,19949.0,128.0,6.369159866665238,6.265845899994019,0.28569405861236247,0.04485584670399332,6.692139099999622,9.662270966665043,0
models/gemini-3.6-flash-video-understanding-eap,temporal_localization,agentic,3,1.0,1.0,1.0,1.0,18467.0,19939.0,1136.0,22.235182166664647,26.454667199999676,9.036380641632102,0.40640011734104853,28.390010700000857,25.77280140000221,0
models/gemini-3.6-flash-video-understanding-eap,temporal_localization,static,3,1.0,1.0,1.0,1.0,19819.0,20175.666666666668,353.6666666666667,6.025920233332727,5.853762300001108,0.7719096089117371,0.1280982122268852,6.86937339999713,9.571975999999268,0
